Source,Target,Type,Id,Label,timeset,Weight,take
0,1,Undirected,47018,,,0.578015,FALSE
0,2,Undirected,47019,,,0.561805,FALSE
0,3,Undirected,47020,,,0.550812,FALSE
0,4,Undirected,47021,,,0.5482,FALSE
0,5,Undirected,47022,,,0.543032,FALSE
0,6,Undirected,47023,,,0.539466,FALSE
0,7,Undirected,47024,,,0.53671,FALSE
0,8,Undirected,47025,,,0.533072,FALSE
0,9,Undirected,47026,,,0.532834,FALSE
0,10,Undirected,47027,,,0.532032,FALSE
0,904,Undirected,47028,,,0.371009,FALSE
0,995,Undirected,47029,,,0.45262,FALSE
1,103,Undirected,47030,,,0.67521,FALSE
1,190,Undirected,47031,,,0.421061,FALSE
1,258,Undirected,47032,,,0.46457,FALSE
1,266,Undirected,47033,,,0.519834,FALSE
1,122,Undirected,47034,,,0.671543,FALSE
1,365,Undirected,47035,,,0.506069,FALSE
1,403,Undirected,47036,,,0.44734,FALSE
1,254,Undirected,47037,,,0.501777,FALSE
1,40,Undirected,47038,,,0.676244,FALSE
1,451,Undirected,47039,,,0.571144,FALSE
1,453,Undirected,47040,,,0.435753,FALSE
1,490,Undirected,47041,,,0.473138,FALSE
1,93,Undirected,47042,,,0.629612,FALSE
1,269,Undirected,47043,,,0.689368,FALSE
1,406,Undirected,47044,,,0.509396,FALSE
1,535,Undirected,47045,,,0.374078,FALSE
1,541,Undirected,47046,,,0.494857,FALSE
1,558,Undirected,47047,,,0.617505,FALSE
1,560,Undirected,47048,,,0.519534,FALSE
1,265,Undirected,47049,,,0.540591,FALSE
1,192,Undirected,47050,,,0.670264,FALSE
1,430,Undirected,47051,,,0.598333,FALSE
1,124,Undirected,47052,,,0.628757,FALSE
1,2,Undirected,47053,,,0.686704,FALSE
1,422,Undirected,47054,,,0.512557,FALSE
1,618,Undirected,47055,,,0.630456,FALSE
1,362,Undirected,47056,,,0.584256,FALSE
1,199,Undirected,47057,,,0.593889,FALSE
1,650,Undirected,47058,,,0.493745,FALSE
1,257,Undirected,47059,,,0.479647,FALSE
1,382,Undirected,47060,,,0.545531,FALSE
1,685,Undirected,47061,,,0.425426,FALSE
1,687,Undirected,47062,,,0.38984,FALSE
1,690,Undirected,47063,,,0.425117,FALSE
1,754,Undirected,47064,,,0.38851,FALSE
1,162,Undirected,47065,,,0.580162,FALSE
1,455,Undirected,47066,,,0.515832,FALSE
1,233,Undirected,47067,,,0.642646,FALSE
1,785,Undirected,47068,,,0.554943,FALSE
1,157,Undirected,47069,,,0.431072,FALSE
1,175,Undirected,47070,,,0.628932,FALSE
1,513,Undirected,47071,,,0.54151,FALSE
1,543,Undirected,47072,,,0.559874,FALSE
1,424,Undirected,47073,,,0.509701,FALSE
1,125,Undirected,47074,,,0.602364,FALSE
1,53,Undirected,47076,,,0.648988,FALSE
1,253,Undirected,47077,,,0.598907,FALSE
1,854,Undirected,47078,,,0.444135,FALSE
1,387,Undirected,47079,,,0.519384,FALSE
1,857,Undirected,47080,,,0.470779,FALSE
1,861,Undirected,47081,,,0.486493,FALSE
1,206,Undirected,47082,,,0.615591,FALSE
1,105,Undirected,47083,,,0.71543,FALSE
1,160,Undirected,47084,,,0.592364,FALSE
1,882,Undirected,47085,,,0.458456,FALSE
1,755,Undirected,47086,,,0.521458,FALSE
1,313,Undirected,47087,,,0.55947,FALSE
1,394,Undirected,47088,,,0.523596,FALSE
1,619,Undirected,47089,,,0.449989,FALSE
1,561,Undirected,47090,,,0.663553,FALSE
1,127,Undirected,47091,,,0.530441,FALSE
1,47,Undirected,47092,,,0.63387,FALSE
1,37,Undirected,47093,,,0.730209,FALSE
1,3,Undirected,47094,,,0.72189,FALSE
1,7,Undirected,47095,,,0.718511,FALSE
1,67,Undirected,47096,,,0.703249,FALSE
1,4,Undirected,47097,,,0.703143,FALSE
1,6,Undirected,47098,,,0.702718,FALSE
1,96,Undirected,47099,,,0.701889,TRUE
1,9,Undirected,47100,,,0.69897,FALSE
1,195,Undirected,47101,,,0.694151,FALSE
1,906,Undirected,47102,,,0.502473,FALSE
1,259,Undirected,47103,,,0.540263,FALSE
1,480,Undirected,47104,,,0.433537,FALSE
1,536,Undirected,47105,,,0.388582,FALSE
1,272,Undirected,47106,,,0.617743,FALSE
1,917,Undirected,47107,,,0.442134,FALSE
1,919,Undirected,47108,,,0.402897,FALSE
1,837,Undirected,47109,,,0.540515,FALSE
1,503,Undirected,47110,,,0.547938,FALSE
